onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
265.05	0.835	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_743.jpg
266.201	0.752	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_598.jpg
267.268	0.719	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_774.jpg
268.301	0.601	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_129.jpg
269.218	0.869	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_128.jpg
270.402	1.085	tomspunt	looking at camera?	how_face	yes	no	incorrect	task-tomspunt/F_582.jpg
271.803	1.052	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_754.jpg
285.341	1.052	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_798.jpg
286.708	1.06	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_128.jpg
288.075	0.877	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_754.jpg
289.259	0.759	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_544.jpg
290.326	0.959	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_086.jpg
291.593	0.918	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg
292.827	0.708	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg
293.844	1.191	tomspunt	self-doubt?	why_face	no	yes	incorrect	task-tomspunt/F_584.jpg
303.231	0.637	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_006.jpg
304.181	1.035	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_438.jpg
305.532	0.786	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_003.jpg
306.632	1.369	tomspunt	reaching?	how_hand	no	yes	incorrect	task-tomspunt/H_474.jpg
308.316	0.769	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_532.jpg
309.4	0.668	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_364.jpg
310.384	0.769	tomspunt	reaching?	how_hand	yes	yes	correct	task-tomspunt/H_007.jpg
311.467	0.985	tomspunt	reaching?	how_hand	no	no	correct	task-tomspunt/H_132.jpg
325.706	0.685	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg
326.707	0.819	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg
327.84	0.702	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg
