onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file_TODO
330.101	1.305	face	n/a	intensity	disgust	female	WC	young	task-faces/4Disgust_Model5_1Female_1WC_1Young.mp4
331.406	0.791	rating	0.6946	intensity	disgust	female	WC	young	n/a
331.74	0.457	rating_mouse_trajectory	0.6946	intensity	disgust	female	WC	young	n/a
335.336	2.039	face	n/a	intensity	pain	female	EA	old	task-faces/7Pain_Model3_1Female_2EA_2Old.mp4
337.375	0.622	rating	0.733	intensity	pain	female	EA	old	n/a
337.425	0.572	rating_mouse_trajectory	0.733	intensity	pain	female	EA	old	n/a
340.299	1.311	face	n/a	intensity	anger	male	African	young	task-faces/5Anger_Model1_2Male_3African_1Young.mp4
341.61	0.837	rating	0.913	intensity	anger	male	African	young	n/a
341.743	0.704	rating_mouse_trajectory	0.913	intensity	anger	male	African	young	n/a
345.535	1.311	face	n/a	intensity	surprise	male	African	young	task-faces/2Surprise_Model4_2Male_3African_1Young.mp4
346.845	1.052	rating	0.2536	intensity	surprise	male	African	young	n/a
346.945	0.952	rating_mouse_trajectory	0.2536	intensity	surprise	male	African	young	n/a
349.752	1.312	face	n/a	intensity	fear	male	WC	old	task-faces/3Fear_Model1_2Male_1WC_2Old.mp4
351.064	0.735	rating	0.1808	intensity	fear	male	WC	old	n/a
351.197	0.602	rating_mouse_trajectory	0.1808	intensity	fear	male	WC	old	n/a
353.986	1.313	face	n/a	intensity	anger	female	EA	young	task-faces/5Anger_Model1_1Female_2EA_1Young.mp4
355.299	0.802	rating	0.6602	intensity	anger	female	EA	young	n/a
355.632	0.468	rating_mouse_trajectory	0.6602	intensity	anger	female	EA	young	n/a
359.219	1.315	face	n/a	intensity	surprise	male	African	old	task-faces/2Surprise_Model3_2Male_3African_2Old.mp4
360.534	0.868	rating	0.3811	intensity	surprise	male	African	old	n/a
360.967	0.435	rating_mouse_trajectory	0.3811	intensity	surprise	male	African	old	n/a
362.457	2.045	face	n/a	intensity	pleasure	male	EA	old	task-faces/8Pleasure_Model4_2Male_2EA_2Old.mp4
364.502	1.118	rating	0.3002	intensity	pleasure	male	EA	old	n/a
364.852	0.768	rating_mouse_trajectory	0.3002	intensity	pleasure	male	EA	old	n/a
366.408	2.045	face	n/a	intensity	pain	female	WC	old	task-faces/7Pain_Model5_1Female_1WC_2Old.mp4
368.453	0.918	rating	0.7775	intensity	pain	female	WC	old	n/a
368.753	0.618	rating_mouse_trajectory	0.7775	intensity	pain	female	WC	old	n/a
372.369	1.32	face	n/a	intensity	anger	female	EA	old	task-faces/5Anger_Model3_1Female_2EA_2Old.mp4
373.689	1.175	rating	0.9009	intensity	anger	female	EA	old	n/a
374.005	0.858	rating_mouse_trajectory	0.9009	intensity	anger	female	EA	old	n/a
376.613	2.045	face	n/a	intensity	pain	male	WC	young	task-faces/7Pain_Model5_2Male_1WC_1Young.mp4
378.657	1.407	rating	0.9676	intensity	pain	male	WC	young	n/a
378.941	1.123	rating_mouse_trajectory	0.9676	intensity	pain	male	WC	young	n/a
381.581	1.311	face	n/a	intensity	disgust	female	EA	young	task-faces/4Disgust_Model5_1Female_2EA_1Young.mp4
382.892	1.088	rating	0.5955	intensity	disgust	female	EA	young	n/a
383.042	0.938	rating_mouse_trajectory	0.5955	intensity	disgust	female	EA	young	n/a
387.816	1.312	face	n/a	intensity	disgust	male	African	old	task-faces/4Disgust_Model1_2Male_3African_2Old.mp4
389.128	0.786	rating	0.3265	intensity	disgust	male	African	old	n/a
389.461	0.453	rating_mouse_trajectory	0.3265	intensity	disgust	male	African	old	n/a
391.032	1.314	face	n/a	intensity	fear	male	African	old	task-faces/3Fear_Model4_2Male_3African_2Old.mp4
392.346	0.852	rating	0.2011	intensity	fear	male	African	old	n/a
392.746	0.452	rating_mouse_trajectory	0.2011	intensity	fear	male	African	old	n/a
396.27	1.311	face	n/a	intensity	sad	male	African	young	task-faces/6Sad_Model2_2Male_3African_1Young.mp4
397.581	1.602	rating	0.0291	intensity	sad	male	African	young	n/a
398.681	0.502	rating_mouse_trajectory	0.0291	intensity	sad	male	African	young	n/a
400.502	1.314	face	n/a	intensity	sad	female	EA	old	task-faces/6Sad_Model1_1Female_2EA_2Old.mp4
401.816	0.868	rating	0.0878	intensity	sad	female	EA	old	n/a
402.149	0.535	rating_mouse_trajectory	0.0878	intensity	sad	female	EA	old	n/a
405.739	1.313	face	n/a	intensity	surprise	female	EA	young	task-faces/2Surprise_Model3_1Female_2EA_1Young.mp4
407.051	0.851	rating	0.8786	intensity	surprise	female	EA	young	n/a
407.385	0.518	rating_mouse_trajectory	0.8786	intensity	surprise	female	EA	young	n/a
409.975	1.311	face	n/a	intensity	sad	female	WC	old	task-faces/6Sad_Model1_1Female_1WC_2Old.mp4
411.286	0.919	rating	0.0392	intensity	sad	female	WC	old	n/a
411.603	0.602	rating_mouse_trajectory	0.0392	intensity	sad	female	WC	old	n/a
413.191	1.312	face	n/a	intensity	surprise	female	African	old	task-faces/2Surprise_Model1_1Female_3African_2Old.mp4
414.504	0.676	rating	0.6683	intensity	surprise	female	African	old	n/a
414.737	0.443	rating_mouse_trajectory	0.6683	intensity	surprise	female	African	old	n/a
416.409	1.312	face	n/a	intensity	disgust	male	EA	young	task-faces/4Disgust_Model2_2Male_2EA_1Young.mp4
417.722	0.792	rating	0.1849	intensity	disgust	male	EA	young	n/a
418.039	0.475	rating_mouse_trajectory	0.1849	intensity	disgust	male	EA	young	n/a
