onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file_TODO	trial_index
43.586	1.702	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg	18
45.604	1.045	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg	19
46.954	0.911	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg	20
48.171	1.227	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg	21
49.705	0.994	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg	22
51.006	0.868	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg	23
52.19	0.892	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg	24
55.865	2.101	tomspunt	pressing button?	block_question_presentation	n/a	n/a	n/a	n/a	25
60.876	0.639	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg	25
61.827	0.656	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg	26
62.794	0.872	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg	27
63.977	1.002	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_024.jpg	28
65.295	0.787	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_502.jpg	29
66.395	0.801	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_130.jpg	30
67.512	0.67	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg	31
68.496	0.668	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_483.jpg	32
73.672	2.084	tomspunt	looking to side?	block_question_presentation	n/a	n/a	n/a	n/a	33
78.666	0.702	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg	33
79.683	0.835	tomspunt	looking to side?	how_face	no	yes	incorrect	task-tomspunt/F_110.jpg	34
80.834	0.752	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_760.jpg	35
81.901	0.948	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_779.jpg	36
83.151	0.764	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_433.jpg	37
84.218	0.769	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_798.jpg	38
85.302	0.619	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg	39
86.236	1.251	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg	40
92.712	2.101	tomspunt	argument?	block_question_presentation	n/a	n/a	n/a	n/a	41
97.723	0.693	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_403.jpg	41
98.724	0.635	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_139.jpg	42
99.674	0.719	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_743.jpg	43
100.708	0.668	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_433.jpg	44
101.691	1.191	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_716.jpg	45
103.192	0.924	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_758.jpg	46
104.426	0.79	tomspunt	argument?	why_face	no	no	correct	task-tomspunt/F_844.jpg	47
105.526	0.724	tomspunt	argument?	why_face	yes	yes	correct	task-tomspunt/F_712.jpg	48
115.204	2.084	tomspunt	self-protection?	block_question_presentation	n/a	n/a	n/a	n/a	49
120.198	1.319	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg	49
121.832	1.069	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg	50
123.216	1.233	tomspunt	self-protection?	why_hand	no	yes	incorrect	task-tomspunt/H_581.jpg	51
124.75	1.652	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg	52
126.717	1.069	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg	53
