onset	duration	subtask_type	question	event_type	participant_response	normative_response	response_accuracy	stim_file
420.879	0.985	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_474.jpg
422.179	0.935	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_091.jpg
423.43	0.852	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_159.jpg
424.597	0.751	tomspunt	helping?	why_hand	yes	yes	correct	task-tomspunt/H_111.jpg
425.664	0.851	tomspunt	helping?	why_hand	no	no	correct	task-tomspunt/H_012.jpg
434.817	0.919	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_111.jpg
436.051	0.619	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_027.jpg
436.985	0.727	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_091.jpg
438.018	0.778	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_167.jpg
439.102	0.86	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_581.jpg
440.269	0.668	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_159.jpg
441.253	0.651	tomspunt	both hands?	how_hand	yes	yes	correct	task-tomspunt/H_349.jpg
442.22	0.701	tomspunt	both hands?	how_hand	no	no	correct	task-tomspunt/H_627.jpg
452.34	1.138	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_438.jpg
453.791	0.851	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_364.jpg
454.958	0.737	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_362.jpg
456.008	0.835	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_019.jpg
457.159	0.735	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_167.jpg
458.209	0.953	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_007.jpg
459.476	0.702	tomspunt	healthy?	why_hand	yes	yes	correct	task-tomspunt/H_627.jpg
460.493	0.719	tomspunt	healthy?	why_hand	no	no	correct	task-tomspunt/H_130.jpg
471.397	0.568	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_126.jpg
472.281	0.585	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_130.jpg
473.181	0.635	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_483.jpg
474.132	0.902	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_024.jpg
475.349	0.58	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_332.jpg
476.233	0.551	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_019.jpg
477.1	0.719	tomspunt	pressing button?	how_hand	no	no	correct	task-tomspunt/H_261.jpg
478.133	0.613	tomspunt	pressing button?	how_hand	yes	yes	correct	task-tomspunt/H_502.jpg
488.921	0.702	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_618.jpg
489.938	0.641	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_754.jpg
490.888	0.607	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_129.jpg
491.805	1.057	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_598.jpg
493.172	0.806	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_128.jpg
494.289	0.951	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_582.jpg
495.556	0.552	tomspunt	looking at camera?	how_face	yes	yes	correct	task-tomspunt/F_774.jpg
496.423	0.789	tomspunt	looking at camera?	how_face	no	no	correct	task-tomspunt/F_743.jpg
507.878	0.969	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_798.jpg
509.162	0.668	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_086.jpg
510.129	0.685	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_544.jpg
511.129	0.668	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_754.jpg
512.113	0.719	tomspunt	self-doubt?	why_face	yes	yes	correct	task-tomspunt/F_111.jpg
513.146	0.901	tomspunt	self-doubt?	why_face	no	yes	incorrect	task-tomspunt/F_584.jpg
514.363	1.052	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_128.jpg
515.731	1.085	tomspunt	self-doubt?	why_face	no	no	correct	task-tomspunt/F_774.jpg
525.401	1.595	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_581.jpg
527.302	0.818	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_443.jpg
528.435	1.252	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_332.jpg
530.003	0.61	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_027.jpg
530.92	0.892	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_532.jpg
532.12	0.685	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_189.jpg
533.12	0.768	tomspunt	self-protection?	why_hand	no	no	correct	task-tomspunt/H_006.jpg
534.204	0.619	tomspunt	self-protection?	why_hand	yes	yes	correct	task-tomspunt/H_038.jpg
543.624	1.005	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_443.jpg
544.942	0.821	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_038.jpg
546.075	1.087	tomspunt	lifting?	how_hand	no	yes	incorrect	task-tomspunt/H_136.jpg
547.476	1.236	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_012.jpg
549.026	0.453	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_362.jpg
549.793	0.868	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_189.jpg
550.977	0.752	tomspunt	lifting?	how_hand	yes	yes	correct	task-tomspunt/H_170.jpg
552.044	1.135	tomspunt	lifting?	how_hand	no	no	correct	task-tomspunt/H_077.jpg
561.498	1.118	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_716.jpg
562.932	0.668	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_798.jpg
563.915	0.88	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_760.jpg
565.099	0.93	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_110.jpg
566.333	1.252	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_779.jpg
567.9	1.029	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_590.jpg
569.234	0.768	tomspunt	looking to side?	how_face	no	no	correct	task-tomspunt/F_111.jpg
570.318	0.852	tomspunt	looking to side?	how_face	yes	yes	correct	task-tomspunt/F_433.jpg
583.973	0.835	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_083.jpg
585.123	0.836	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_582.jpg
586.274	0.739	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_618.jpg
587.324	0.905	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_776.jpg
588.541	0.821	tomspunt	proud?	why_face	yes	yes	correct	task-tomspunt/F_598.jpg
589.675	1.054	tomspunt	proud?	why_face	no	no	correct	task-tomspunt/F_760.jpg
