onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
310.448	2.039	face	n/a	sex	pleasure	female	WC	young	task-faces/8Pleasure_Model5_1Female_1WC_1Young.mp4
312.488	0.656	rating	0.0	sex	pleasure	female	WC	young	n/a
312.538	0.606	rating_mouse_trajectory	0.0	sex	pleasure	female	WC	young	n/a
314.41	1.312	face	n/a	sex	fear	female	African	old	task-faces/3Fear_Model3_1Female_3African_2Old.mp4
315.722	0.922	rating	0.6582	sex	fear	female	African	old	n/a
316.122	0.522	rating_mouse_trajectory	0.6582	sex	fear	female	African	old	n/a
318.646	1.311	face	n/a	sex	fear	female	EA	old	task-faces/3Fear_Model4_1Female_2EA_2Old.mp4
319.957	0.77	rating	0.0	sex	fear	female	EA	old	n/a
320.257	0.47	rating_mouse_trajectory	0.0	sex	fear	female	EA	old	n/a
322.881	1.311	face	n/a	sex	sad	female	EA	old	task-faces/6Sad_Model3_1Female_2EA_2Old.mp4
324.192	0.552	rating	0.0	sex	sad	female	EA	old	n/a
324.359	0.385	rating_mouse_trajectory	0.0	sex	sad	female	EA	old	n/a
327.098	1.312	face	n/a	sex	disgust	female	EA	old	task-faces/4Disgust_Model5_1Female_2EA_2Old.mp4
328.41	0.618	rating	0.0	sex	disgust	female	EA	old	n/a
328.56	0.468	rating_mouse_trajectory	0.0	sex	disgust	female	EA	old	n/a
330.314	1.314	face	n/a	sex	sad	male	EA	old	task-faces/6Sad_Model1_2Male_2EA_2Old.mp4
331.628	0.535	rating	0.0	sex	sad	male	EA	old	n/a
331.678	0.485	rating_mouse_trajectory	0.0	sex	sad	male	EA	old	n/a
335.55	2.047	face	n/a	sex	pain	male	EA	old	task-faces/7Pain_Model3_2Male_2EA_2Old.mp4
337.597	0.452	rating	0.0	sex	pain	male	EA	old	n/a
337.664	0.385	rating_mouse_trajectory	0.0	sex	pain	male	EA	old	n/a
340.516	1.316	face	n/a	sex	sad	male	WC	old	task-faces/6Sad_Model2_2Male_1WC_2Old.mp4
341.832	0.952	rating	0.0	sex	sad	male	WC	old	n/a
342.432	0.352	rating_mouse_trajectory	0.0	sex	sad	male	WC	old	n/a
345.739	1.312	face	n/a	sex	fear	male	EA	young	task-faces/3Fear_Model4_2Male_2EA_1Young.mp4
347.05	1.093	rating	0.0081	sex	fear	male	EA	young	n/a
347.717	0.427	rating_mouse_trajectory	0.0081	sex	fear	male	EA	young	n/a
349.974	2.044	face	n/a	sex	pleasure	male	African	young	task-faces/8Pleasure_Model3_2Male_3African_1Young.mp4
352.019	0.725	rating	0.1141	sex	pleasure	male	African	young	n/a
352.119	0.625	rating_mouse_trajectory	0.1141	sex	pleasure	male	African	young	n/a
354.943	1.311	face	n/a	sex	sad	male	African	young	task-faces/6Sad_Model4_2Male_3African_1Young.mp4
356.254	1.007	rating	0.004	sex	sad	male	African	young	n/a
356.587	0.674	rating_mouse_trajectory	0.004	sex	sad	male	African	young	n/a
360.178	2.045	face	n/a	sex	pain	male	EA	young	task-faces/7Pain_Model1_2Male_2EA_1Young.mp4
362.223	0.621	rating	0.0	sex	pain	male	EA	young	n/a
362.273	0.571	rating_mouse_trajectory	0.0	sex	pain	male	EA	young	n/a
364.146	1.312	face	n/a	sex	disgust	male	EA	young	task-faces/4Disgust_Model4_2Male_2EA_1Young.mp4
365.457	1.47	rating	0.0	sex	disgust	male	EA	young	n/a
365.991	0.937	rating_mouse_trajectory	0.0	sex	disgust	male	EA	young	n/a
367.363	1.312	face	n/a	sex	happy	female	EA	old	task-faces/1Happy_Model3_1Female_2EA_2Old.mp4
368.675	0.736	rating	0.9818	sex	happy	female	EA	old	n/a
368.825	0.586	rating_mouse_trajectory	0.9818	sex	happy	female	EA	old	n/a
372.581	1.312	face	n/a	sex	fear	male	EA	old	task-faces/3Fear_Model4_2Male_2EA_2Old.mp4
373.894	0.918	rating	0.0453	sex	fear	male	EA	old	n/a
374.06	0.751	rating_mouse_trajectory	0.0453	sex	fear	male	EA	old	n/a
376.818	1.31	face	n/a	sex	sad	male	African	old	task-faces/6Sad_Model1_2Male_3African_2Old.mp4
378.129	1.785	rating	0.6764	sex	sad	male	African	old	n/a
378.529	1.385	rating_mouse_trajectory	0.6764	sex	sad	male	African	old	n/a
381.049	1.314	face	n/a	sex	anger	female	African	old	task-faces/5Anger_Model2_1Female_3African_2Old.mp4
382.364	0.985	rating	0.8706	sex	anger	female	African	old	n/a
382.414	0.935	rating_mouse_trajectory	0.8706	sex	anger	female	African	old	n/a
387.283	2.033	face	n/a	sex	pleasure	female	African	old	task-faces/8Pleasure_Model5_1Female_3African_2Old.mp4
