onset	duration	trial_type	response_value	rating_type	expression	sex	race	age	stim_file
236.513	2.047	face	n/a	sex	pain	female	EA	young	task-faces/7Pain_Model2_1Female_2EA_1Young.mp4
238.56	0.751	rating	0.8261	sex	pain	female	EA	young	n/a
238.86	0.451	rating_mouse_trajectory	0.8261	sex	pain	female	EA	young	n/a
242.482	1.314	face	n/a	sex	sad	female	African	old	task-faces/6Sad_Model1_1Female_3African_2Old.mp4
243.796	1.168	rating	0.197	sex	sad	female	African	old	n/a
244.479	0.485	rating_mouse_trajectory	0.197	sex	sad	female	African	old	n/a
245.718	1.312	face	n/a	sex	surprise	male	EA	old	task-faces/2Surprise_Model4_2Male_2EA_2Old.mp4
247.03	0.668	rating	0.0	sex	surprise	male	EA	old	n/a
247.364	0.335	rating_mouse_trajectory	0.0	sex	surprise	male	EA	old	n/a
252.937	1.312	face	n/a	sex	surprise	male	African	old	task-faces/2Surprise_Model2_2Male_3African_2Old.mp4
254.25	0.743	rating	0.0	sex	surprise	male	African	old	n/a
254.616	0.377	rating_mouse_trajectory	0.0	sex	surprise	male	African	old	n/a
256.155	1.312	face	n/a	sex	anger	female	EA	old	task-faces/5Anger_Model5_1Female_2EA_2Old.mp4
257.467	0.825	rating	0.1121	sex	anger	female	EA	old	n/a
257.801	0.492	rating_mouse_trajectory	0.1121	sex	anger	female	EA	old	n/a
260.398	1.305	face	n/a	sex	sad	female	African	young	task-faces/6Sad_Model3_1Female_3African_1Young.mp4
261.702	1.14	rating	0.0	sex	sad	female	African	young	n/a
262.036	0.807	rating_mouse_trajectory	0.0	sex	sad	female	African	young	n/a
264.626	1.311	face	n/a	sex	sad	female	WC	old	task-faces/6Sad_Model2_1Female_1WC_2Old.mp4
265.937	1.222	rating	0.1687	sex	sad	female	WC	old	n/a
266.571	0.589	rating_mouse_trajectory	0.1687	sex	sad	female	WC	old	n/a
268.861	2.045	face	n/a	sex	pleasure	male	EA	young	task-faces/8Pleasure_Model2_2Male_2EA_1Young.mp4
270.906	0.687	rating	0.0	sex	pleasure	male	EA	young	n/a
271.172	0.42	rating_mouse_trajectory	0.0	sex	pleasure	male	EA	young	n/a
272.813	2.044	face	n/a	sex	pleasure	female	EA	old	task-faces/8Pleasure_Model1_1Female_2EA_2Old.mp4
274.857	1.185	rating	0.5409	sex	pleasure	female	EA	old	n/a
275.424	0.619	rating_mouse_trajectory	0.5409	sex	pleasure	female	EA	old	n/a
